code,Name,yield_basis,data_fill_reason
58570,ＡＲＥホールディングス,none,missing_total_div; missing_shares
18470,イチケン,none,missing_total_div; missing_shares
62680,ナブテスコ,none,missing_dps; missing_total_div; missing_shares
83870,四国銀行,none,missing_dps; missing_total_div; missing_shares
60420,ニッキ,none,missing_dps; missing_total_div; missing_shares
18120,鹿島建設,none,missing_total_div; missing_shares
15150,日鉄鉱業,none,missing_dps; missing_total_div; missing_shares
40470,関東電化工業,none,missing_dps; missing_total_div; missing_shares
72990,フジオーゼックス,none,missing_total_div; missing_shares
93030,住友倉庫,none,missing_dps; missing_total_div; missing_shares
52610,リソルホールディングス,none,missing_total_div; missing_shares
19510,エクシオグループ,none,missing_dps; missing_total_div; missing_shares
22920,Ｓ　Ｆｏｏｄｓ,none,missing_dps; missing_total_div; missing_shares
70180,内海造船,none,missing_dps; missing_total_div; missing_shares
71830,あんしん保証,none,missing_dps; missing_total_div; missing_shares
95370,北陸瓦斯,none,missing_dps; missing_total_div; missing_shares
31530,八洲電機,none,missing_total_div; missing_shares
18480,富士ピー・エス,none,missing_dps; missing_total_div; missing_shares
22860,林兼産業,none,missing_dps; missing_total_div; missing_shares
39340,ベネフィットジャパン,none,missing_total_div; missing_shares
17980,守谷商会,none,missing_total_div; missing_shares
18850,東亜建設工業,none,missing_total_div; missing_shares
63930,油研工業,none,missing_total_div; missing_shares
57150,古河機械金属,none,missing_dps; missing_total_div; missing_shares
87050,日産証券グループ,none,missing_dps; missing_total_div; missing_shares
62380,フリュー,none,missing_dps; missing_total_div; missing_shares
77440,ノーリツ鋼機,none,missing_dps; missing_total_div; missing_shares
68220,大井電気,none,missing_dps; missing_total_div; missing_shares
20600,フィード・ワン,none,missing_total_div; missing_shares
63610,荏原製作所,none,missing_dps; missing_total_div; missing_shares
45780,大塚ホールディングス,none,missing_dps; missing_total_div; missing_shares
83650,富山銀行,none,missing_dps; missing_total_div; missing_shares
83430,秋田銀行,none,missing_total_div; missing_shares
13840,ホクリヨウ,none,missing_total_div; missing_shares
17880,三東工業社,none,missing_total_div; missing_shares
49730,日本高純度化学,none,missing_dps; missing_total_div; missing_shares
46350,東京インキ,none,missing_dps; missing_total_div; missing_shares
57410,ＵＡＣＪ,none,missing_dps; missing_total_div; missing_shares
60830,ＥＲＩホールディングス,none,missing_total_div; missing_shares
71800,九州フィナンシャルグループ,none,missing_dps; missing_total_div; missing_shares
86240,いちよし証券,none,missing_dps; missing_total_div; missing_shares
40310,片倉コープアグリ,none,missing_total_div; missing_shares
17760,三井住建道路,none,missing_dps; missing_total_div; missing_shares
43660,ダイトーケミックス,none,missing_total_div; missing_shares
60220,赤阪鐵工所,none,missing_total_div; missing_shares
18710,ピーエス・コンストラクション,none,missing_total_div; missing_shares
94080,ＢＳＮメディアホールディングス,none,missing_dps; missing_total_div; missing_shares
80200,兼松,none,missing_dps; missing_total_div; missing_shares
19650,テクノ菱和,none,missing_dps; missing_total_div; missing_shares
81270,ヤマトインターナショナル,none,missing_dps; missing_total_div; missing_shares
67430,大同信号,none,missing_total_div; missing_shares
17870,ナカボーテック,none,missing_total_div; missing_shares
73810,ＣＣＩグループ,none,missing_dps; missing_total_div; missing_shares
55410,大平洋金属,none,missing_total_div; missing_shares
42160,旭有機材,none,missing_dps; missing_total_div; missing_shares
68440,新電元工業,none,missing_dps; missing_total_div; missing_shares
25880,プレミアムウォーターホールディングス,none,missing_total_div; missing_shares
57290,日本精鉱,none,missing_total_div; missing_shares
80880,岩谷産業,none,missing_total_div; missing_shares
72710,安永,none,missing_total_div; missing_shares
72360,ティラド,none,missing_dps; missing_total_div; missing_shares
72080,カネミツ,none,missing_total_div; missing_shares
68750,メガチップス,none,missing_dps; missing_total_div; missing_shares
83440,山形銀行,none,missing_total_div; missing_shares
62170,津田駒工業,none,missing_dps; missing_total_div; missing_shares
21120,塩水港精糖,none,missing_dps; missing_total_div; missing_shares
66700,ＭＣＪ,none,missing_total_div; missing_shares
29930,長栄,none,missing_total_div; missing_shares
18020,大林組,none,missing_dps; missing_total_div; missing_shares
48850,室町ケミカル,none,missing_dps; missing_total_div; missing_shares
27490,ＪＰホールディングス,none,missing_total_div; missing_shares
66160,トレックス・セミコンダクター,none,missing_dps; missing_total_div; missing_shares
95050,北陸電力,none,missing_total_div; missing_shares
41000,戸田工業,none,missing_dps; missing_total_div; missing_shares
70110,三菱重工業,none,missing_dps; missing_total_div; missing_shares
61370,小池酸素工業,none,missing_total_div; missing_shares
52820,ジオスター,none,missing_dps; missing_total_div; missing_shares
90720,ニッコンホールディングス,none,missing_dps; missing_total_div; missing_shares
18150,鉄建建設,none,missing_total_div; missing_shares
50760,インフロニア・ホールディングス,none,missing_total_div; missing_shares
19970,暁飯島工業,none,missing_dps; missing_total_div; missing_shares
42200,リケンテクノス,none,missing_dps; missing_total_div; missing_shares
19040,大成温調,none,missing_dps; missing_total_div; missing_shares
29750,スター・マイカ・ホールディングス,none,missing_total_div; missing_shares
18110,錢高組,none,missing_dps; missing_total_div; missing_shares
17190,安藤・間,none,missing_total_div; missing_shares
42080,ＵＢＥ,none,missing_dps; missing_total_div; missing_shares
27080,久世,none,missing_total_div; missing_shares
93550,リンコーコーポレーション,none,missing_total_div; missing_shares
18600,戸田建設,none,missing_dps; missing_total_div; missing_shares
75050,扶桑電通,none,missing_total_div; missing_shares
76080,エスケイジャパン,none,missing_total_div; missing_shares
18280,田辺工業,none,missing_total_div; missing_shares
42030,住友ベークライト,none,missing_total_div; missing_shares
80320,日本紙パルプ商事,none,missing_dps; missing_total_div; missing_shares
73270,第四北越フィナンシャルグループ,none,missing_dps; missing_total_div; missing_shares
64020,兼松エンジニアリング,none,missing_total_div; missing_shares
19610,三機工業,none,missing_dps; missing_total_div; missing_shares
59020,ホッカンホールディングス,none,missing_total_div; missing_shares
88040,東京建物,none,missing_total_div; missing_shares
68380,多摩川ホールディングス,none,missing_dps; missing_total_div; missing_shares
37410,セック,none,missing_dps; missing_total_div; missing_shares
82260,理経,none,missing_dps; missing_total_div; missing_shares
38530,アステリア,none,missing_total_div; missing_shares
