code,Name,yield_basis,effective_yield,non_cut_years_verified,coverage_years,fcf_payout_3y,drop_reason_core,data_quality_flags,manual_check_reason,div_source_used,high_yield_risk,yield_split_mismatch,is_financial,core_pass,in_holdings
86000,トモニホールディングス,dps_fallback,0.019208381839348,True,10,0.0378934132179444,fin_sector_excluded_from_core; E_div_yield; fin:E_div_yield,,yield_total_fallback_dps,yf,False,False,True,False,False
64810,ＴＨＫ,dps_fallback,0.0293469551282051,True,10,1.9169798986762543,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,,yield_total_fallback_dps,yf,False,False,False,False,False
52080,有沢製作所,dps_fallback,0.0391357521402364,True,10,1.120950323974082,A_non_cut_years; D_fcf_payout; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
93650,トレーディア,dps_fallback,0.0315457413249211,True,10,0.2955465587044534,OK,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,True,False
86300,ＳＯＭＰＯホールディングス,dps_fallback,0.0226453937210499,True,10,0.5174285385683827,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; fin:A_non_cut_years; fin:E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,True,False,False
63690,トーヨーカネツ,dps_fallback,0.0855692530819434,True,10,1.0237422272470322,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail,div_split_adjusted,high_yield_risk; yield_total_fallback_dps; yf_source_high_yield,yf,True,False,False,False,False
54440,大和工業,dps_fallback,0.0334029227557411,True,10,1.0807382987212062,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail,,yield_total_fallback_dps,yf,False,False,False,False,False
69960,ニチコン,dps_fallback,0.0184891706286318,True,10,0.3409961685823754,E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
61890,グローバルキッズＣＯＭＰＡＮＹ,dps_fallback,0.0371057513914656,False,4,0.580539656582175,data_missing:div_history; C_fcf_pos_ratio; D_fcf_hard_fail,div_history_short,yield_total_fallback_dps,yf,False,False,False,False,False
85630,大東銀行,dps_fallback,0.0309777347531461,True,10,2.529032258064516,fin_sector_excluded_from_core,div_split_adjusted,yield_total_fallback_dps,yf,False,False,True,False,False
59570,日東精工,dps_fallback,0.0256241787122207,True,10,0.2925398155909472,E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
61670,冨士ダイス,dps_fallback,0.0340136054421768,True,10,1.063197026022305,A_non_cut_years; D_fcf_payout,,yield_total_fallback_dps,yf,False,False,False,False,False
