code,Name,yield_basis,effective_yield,dividend_yield_total_actual,dividend_yield_total_fwd,dividend_yield_fwd_total,dividend_yield_fwd,non_cut_years_verified,fcf_payout_3y,drop_reason_core,drop_reason_satellite,data_quality_flags,manual_check_reason,div_source_used,high_yield_risk,yield_split_mismatch,is_financial,core_pass,satellite_pass,in_holdings
63450,アイチ　コーポレーション,none,,,,0.0375170532060027,0.0375170532060027,10.0,0.5179383527033855,D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
59650,フジマック,none,,,,0.0336134453781512,0.0336134453781512,4.0,1.8831460674157303,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:yield,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
24750,ＷＤＢホールディングス,dps_fallback,0.0452841973766396,0.045257761580236866,0.0452841973766396,0.0452577615802368,0.0452841973766396,0.0,0.550477773161612,A_non_cut_years,TT_not_all_pass,div_split_adjusted,yf_source_high_yield,yf,False,False,False,False,False,False
30760,あい　ホールディングス,none,,,,0.0342114266164899,0.0342114266164899,10.0,0.3616183558482113,D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
65840,三櫻工業,none,,,,0.0315315315315315,0.0315315315315315,5.0,2.7841530054644807,D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
78180,トランザクション,none,,,,0.040500736377025,0.040500736377025,8.0,0.4348648648648648,D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
78040,ビーアンドピー,none,,,,0.0290018832391713,0.0290018832391713,5.0,,D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; data_missing:fcf_payout,TT_not_all_pass,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
17110,ＳＤＳホールディングス,dps_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass,TT_not_all_pass; yield_below_2pct,div_history_short,,jquants,False,False,False,False,False,False
46710,ファルコホールディングス,none,,,,0.045054945054945,0.045054945054945,0.0,0.906054279749478,A_non_cut_years; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps; yf_source_high_yield,yf,False,False,False,False,False,False
49560,コニシ,none,,,,0.0274566473988439,0.0274566473988439,1.0,,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; data_missing:fcf_payout,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
68480,東亜ディーケーケー,none,,,,0.0228452751817237,0.0228452751817237,10.0,0.3505237711522965,C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
44650,ニイタカ,none,,,,0.0313725490196078,0.0313725490196078,10.0,0.3960493827160494,E_div_yield; data_missing:yield,TT_not_all_pass,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
75370,丸文,dps_fallback,0.05176470588235294,0.051760711406051055,0.05176470588235294,0.051760711406051,0.0517647058823529,1.0,0.0817943350732625,A_non_cut_years,TT_not_all_pass,,yf_source_high_yield,yf,False,False,False,False,False,False
51990,不二ラテックス,none,,,,0.0357478833490122,0.0357478833490122,5.0,0.1076923076923077,D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
40910,日本酸素ホールディングス,none,,,,0.00967795761722,0.00967795761722,10.0,0.2394031728131336,D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass; yield_below_2pct,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
