code,Name,net_shares_source,shares_check_reason,data_quality_flags,effective_yield
82370,松屋,missing,shares_missing,shares_missing,
80130,ナイガイ,missing,shares_missing,shares_missing; div_history_short,
78930,プロネクサス,missing,shares_missing,shares_missing; div_split_adjusted,
60740,ジェイエスエス,missing,shares_missing,shares_missing; div_split_adjusted,
52820,ジオスター,missing,shares_missing,shares_missing,
56120,日本鋳鉄管,missing,shares_missing,shares_missing; div_split_adjusted,
60290,アトラグループ,missing,shares_missing,shares_missing; div_split_adjusted,
66250,ＪＡＬＣＯホールディングス,missing,shares_missing,shares_missing; div_split_adjusted,
27300,エディオン,missing,shares_missing,shares_missing,
17160,第一カッター興業,missing,shares_missing,shares_missing; div_split_adjusted,
28100,ハウス食品グループ本社,missing,shares_missing,shares_missing,
18070,佐藤渡辺,missing,shares_missing,shares_missing; div_split_adjusted,
17830,ｆａｎｔａｓｉｓｔａ,missing,shares_missing,shares_missing; div_history_short,
60890,ウィルグループ,missing,shares_missing,shares_missing; div_split_adjusted,
95360,西部ガスホールディングス,missing,shares_missing,shares_missing; div_split_adjusted,
14180,インターライフホールディングス,missing,shares_missing,shares_missing,
50790,ノバック,missing,shares_missing,shares_missing; div_history_short,
15180,三井松島ホールディングス,missing,shares_missing,shares_missing; div_split_adjusted,
46350,東京インキ,missing,shares_missing,shares_missing; div_split_adjusted,
35360,アクサスホールディングス,missing,shares_missing,shares_missing,
89440,ランドビジネス,missing,shares_missing,shares_missing; div_split_adjusted,
26540,アスモ,missing,shares_missing,shares_missing; div_split_adjusted,
63470,プラコー,missing,shares_missing,shares_missing; div_split_adjusted,
70300,スプリックス,missing,shares_missing,shares_missing,
86130,丸三証券,missing,shares_missing,shares_missing,
52830,高見澤,missing,shares_missing,shares_missing; div_split_adjusted,
37680,リスクモンスター,missing,shares_missing,shares_missing; div_split_adjusted,
31230,サイボー,missing,shares_missing,shares_missing,
61570,日進工具,missing,shares_missing,shares_missing; div_split_adjusted,
41240,大阪油化工業,missing,shares_missing,shares_missing,
78980,ウッドワン,missing,shares_missing,shares_missing; div_split_adjusted,
